time [s],position [m],elevation xf [m]
0,0,-0
0.0005,-9.48987243663012e-14,-3.86523451045951e-12
0.001,-4.15498524487564e-13,-1.53942093834291e-11
0.0015,-1.021898973325e-12,-3.44869347110743e-11
0.002,-1.98257467255906e-12,-6.10435488927499e-11
0.0025,-3.37443653074302e-12,-9.49643071505359e-11
0.003,-5.28289229345153e-12,-1.36149569961923e-10
0.0035,-7.80190631784097e-12,-1.84499791417056e-10
0.004,-1.10340585881454e-11,-2.39915507493903e-10
0.0045,-1.50906029661984e-11,-3.02297324261849e-10
0.005,-2.00915246714087e-11,-3.71545906013644e-10
0.0055,-2.61655969829053e-11,-4.47561963323104e-10
0.006,-3.34504371645279e-11,-5.30246241037037e-10
0.0065,-4.20925615957166e-11,-6.19499506200732e-10
0.007,-5.22474401224818e-11,-7.15222535917485e-10
0.0075,-6.4079549603893e-11,-8.17316105158236e-10
0.008,-7.77624266499336e-11,-9.25680974478307e-10
0.0085,-9.34787195685799e-11,-1.04021787773072e-09
0.009,-1.11420239488997e-10,-1.16082750967964e-09
0.0095,-1.31788010671214e-10,-1.28741051357138e-09
0.01,-1.54792319998689e-10,-1.41986746866429e-09
0.0105,-1.80652765624889e-10,-1.55809887772142e-09
0.011,-2.09598304821796e-10,-1.7020051544164e-09
0.0115,-2.41867300959421e-10,-1.85148661074983e-09
0.012,-2.77707569660602e-10,-2.00644344438082e-09
0.0125,-3.17376424106169e-10,-2.16677572593722e-09
0.013,-3.61140719492329e-10,-2.33238338630545e-09
0.0135,-4.0927689662595e-10,-2.50316620385501e-09
0.014,-4.62071024675357e-10,-2.67902379164875e-09
0.0145,-5.19818843046641e-10,-2.85985558465398e-09
0.015,-5.82825802363535e-10,-3.04556082682771e-09
0.0155,-6.51407104630763e-10,-3.23603855832936e-09
0.016,-7.25887742481256e-10,-3.43118760259412e-09
0.0165,-8.06602537561007e-10,-3.6309065533865e-09
0.017,-8.93896178007746e-10,-3.83509376194196e-09
0.0175,-9.88123255040412e-10,-4.04364732397723e-09
0.018,-1.08964829868541e-09,-4.25646506675269e-09
0.0185,-1.19884581257531e-09,-4.47344453610865e-09
0.019,-1.31610030784102e-09,-4.6944829835474e-09
0.0195,-1.44180633612444e-09,-4.91947735310327e-09
0.02,-1.5763685216462e-09,-5.1483242686137e-09
0.0205,-1.7202015924027e-09,-5.38092002050016e-09
0.021,-1.87373041040167e-09,-5.61716055297957e-09
0.0215,-2.03739000100213e-09,-5.85694145096039e-09
0.022,-2.21162558130719e-09,-6.10015792722771e-09
0.0225,-2.3968925876497e-09,-6.34670480938266e-09
0.023,-2.59365670214357e-09,-6.59647652695364e-09
0.0235,-2.80239387827917e-09,-6.84936709845618e-09
0.024,-3.02359036556947e-09,-7.1052701185798e-09
0.0245,-3.2577427333322e-09,-7.36407874515948e-09
0.025,-3.50535789338652e-09,-7.62568568643558e-09
0.0255,-3.76695312193798e-09,-7.88998318820653e-09
0.026,-4.0430560804336e-09,-8.15686302111012e-09
0.0265,-4.33420483541965e-09,-8.42621646751728e-09
0.027,-4.64094787760133e-09,-8.6979343092266e-09
0.0275,-4.96384413974283e-09,-8.97190681449561e-09
0.028,-5.30346301371534e-09,-9.24802372551212e-09
0.0285,-5.6603843665359e-09,-9.52617424559717e-09
0.029,-6.03519855550852e-09,-9.80624702684248e-09
0.0295,-6.4285064422159e-09,-1.00881301574332e-08
0.03,-6.8409194057643e-09,-1.03717111491492e-08
0.0305,-7.27305935483328e-09,-1.06568769249894e-08
0.031,-7.72555873890273e-09,-1.09435138068352e-08
0.0315,-8.19906055838977e-09,-1.12315075029557e-08
0.032,-8.69421837375844e-09,-1.15207430958993e-08
0.0325,-9.21169631388226e-09,-1.18111050301561e-08
0.033,-9.75216908317509e-09,-1.21024771002463e-08
0.0335,-1.03163219675983e-08,-1.23947424381167e-08
0.034,-1.09048508401749e-08,-1.26877835017707e-08
0.0345,-1.151846216495e-08,-1.29814820628407e-08
0.035,-1.21578730002488e-08,-1.32757191949877e-08
0.0355,-1.28238110009497e-08,-1.35703752618712e-08
0.036,-1.35170144195229e-08,-1.38653299056437e-08
0.0365,-1.42382321062693e-08,-1.41604620351499e-08
0.037,-1.49882235084908e-08,-1.44556498144209e-08
0.0375,-1.57677586685773e-08,-1.47507706511503e-08
0.038,-1.65776182211198e-08,-1.50457011853747e-08
0.0385,-1.74185933891177e-08,-1.53403172780209e-08
0.039,-1.8291485978888e-08,-1.56344939999667e-08
0.0395,-1.91971083742452e-08,-1.59281056204625e-08
0.04,-2.01362835296457e-08,-1.62210255966358e-08
0.0405,-2.11098449618409e-08,-1.65131265620226e-08
0.041,-2.2118636741203e-08,-1.68042803161493e-08
0.0415,-2.31635134814726e-08,-1.70943578136174e-08
0.042,-2.42453403288434e-08,-1.73832291534829e-08
0.0425,-2.53649929497408e-08,-1.76707635686293e-08
0.043,-2.65233575176118e-08,-1.79568294156126e-08
0.0435,-2.77213306989346e-08,-1.82412941641121e-08
0.044,-2.89598196379201e-08,-1.85240243867375e-08
0.0445,-3.02397419401019e-08,-1.8804885749284e-08
0.045,-3.1562025655282e-08,-1.90837429999994e-08
0.0455,-3.29276092591402e-08,-1.93604599608176e-08
0.046,-3.4337441633768e-08,-1.96348995165943e-08
0.0465,-3.57924820473467e-08,-1.9906923606187e-08
0.047,-3.72937001327807e-08,-2.01763932126034e-08
0.0475,-3.88420758648789e-08,-2.04431683536145e-08
0.048,-4.04385995371639e-08,-2.07071080731864e-08
0.0485,-4.20842717371702e-08,-2.09680704312019e-08
0.049,-4.3780103320735e-08,-2.12259124955611e-08
0.0495,-4.55271153854902e-08,-2.14804903328765e-08
0.05,-4.73263392429861e-08,-2.1731658999753e-08
0.0505,-4.91788163900853e-08,-2.1979272534045e-08
0.051,-5.10855984789259e-08,-2.22231839471074e-08
0.0515,-5.30477472864182e-08,-2.24632452149701e-08
0.052,-5.50663346818187e-08,-2.26993072697739e-08
0.0525,-5.7142442594413e-08,-2.29312199929061e-08
0.053,-5.92771629791032e-08,-2.31588322061068e-08
0.0535,-6.14715977812555e-08,-2.33819916645302e-08
0.054,-6.37268589012263e-08,-2.36005450483809e-08
0.0545,-6.60440681564626e-08,-2.38143379560796e-08
0.055,-6.84243572438038e-08,-2.4023214897112e-08
0.0555,-7.08688677000509e-08,-2.42270192842003e-08
0.056,-7.33787508619605e-08,-2.442559342707e-08
0.0565,-7.59551678244118e-08,-2.461877852543e-08
0.057,-7.85992893987448e-08,-2.48064146621667e-08
0.0575,-8.13122960685913e-08,-2.49883407968559e-08
0.058,-8.40953779459264e-08,-2.51643947596868e-08
0.0585,-8.69497347255265e-08,-2.53344132456541e-08
0.059,-8.98765756381489e-08,-2.54982318070326e-08
0.0595,-9.28771194033628e-08,-2.56556848493744e-08
0.06,-9.59525941803635e-08,-2.58066056248073e-08
0.0605,-9.91042375190218e-08,-2.59508262268385e-08
0.061,-1.02333296308502e-07,-2.60881775848593e-08
0.0615,-1.05641026725973e-07,-2.62184894591794e-08
0.062,-1.09028694183511e-07,-2.63415904360069e-08
0.0625,-1.12497573274593e-07,-2.64573079221979e-08
0.063,-1.16048947719108e-07,-2.65654681413882e-08
0.0635,-1.19684110307442e-07,-2.66658961287064e-08
0.064,-1.23404362843568e-07,-2.67584157270269e-08
0.0645,-1.27211016086936e-07,-2.68428495826531e-08
0.065,-1.31105389694065e-07,-2.69190191412672e-08
0.0655,-1.35088812158095e-07,-2.69867446446435e-08
0.066,-1.39162620747543e-07,-2.70458451257243e-08
0.0665,-1.43328161444804e-07,-2.70961384069976e-08
0.067,-1.47586788882722e-07,-2.71374410962555e-08
0.0675,-1.51939866280622e-07,-2.71695685834927e-08
0.068,-1.56388765379313e-07,-2.71923350378687e-08
0.0685,-1.60934866374563e-07,-2.72055534060197e-08
0.069,-1.65579557850554e-07,-2.72090354083935e-08
0.0695,-1.70324236711188e-07,-2.72025915374936e-08
0.07,-1.751703081112e-07,-2.71860310556994e-08
0.0705,-1.80119185385779e-07,-2.71591619933524e-08
0.071,-1.85172289980027e-07,-2.71217911463154e-08
0.0715,-1.90331051375796e-07,-2.70737240756411e-08
0.072,-1.95596907019367e-07,-2.70147651046859e-08
0.0725,-2.00971302246946e-07,-2.69447173197057e-08
0.073,-2.06455690209239e-07,-2.68633825657189e-08
0.0735,-2.12051531795671e-07,-2.67705614503185e-08
0.074,-2.17760295557226e-07,-2.66660533385902e-08
0.0745,-2.23583457628072e-07,-2.65496563550545e-08
0.075,-2.29522501646842e-07,-2.64211673823287e-08
0.0755,-2.35578918675933e-07,-2.62803820620631e-08
0.076,-2.41754207121001e-07,-2.61270947938928e-08
0.0765,-2.4804987264871e-07,-2.59610987364269e-08
0.077,-2.54467428103588e-07,-2.57821858079361e-08
0.0775,-2.61008393424019e-07,-2.55901466858687e-08
0.078,-2.67674295557734e-07,-2.5384770808859e-08
0.0785,-2.74466668375409e-07,-2.51658463771224e-08
0.079,-2.81387052583934e-07,-2.49331603543332e-08
0.0795,-2.88436995638947e-07,-2.46864984678793e-08
0.08,-2.9561805165523e-07,-2.4425645211588e-08
0.0805,-3.02931781317752e-07,-2.41503838475243e-08
0.081,-3.10379751790764e-07,-2.38604964064843e-08
0.0815,-3.17963536626348e-07,-2.35557636918755e-08
0.082,-3.25684715671337e-07,-2.32359652813956e-08
0.0825,-3.33544874974593e-07,-2.290087952948e-08
0.083,-3.41545606692165e-07,-2.25502835699165e-08
0.0835,-3.49688508991739e-07,-2.21839533188455e-08
0.084,-3.57975185957287e-07,-2.18016634791997e-08
0.0845,-3.66407247490789e-07,-2.14031875404857e-08
0.085,-3.74986309215199e-07,-2.09882977866253e-08
0.0855,-3.83713992374853e-07,-2.05567652962282e-08
0.086,-3.92591923735347e-07,-2.01083599485641e-08
0.0865,-4.01621735484118e-07,-1.96428504262885e-08
0.087,-4.10805065126775e-07,-1.91600042197555e-08
0.0875,-4.20143555386539e-07,-1.86595876324645e-08
0.088,-4.29638854099431e-07,-1.81413657843394e-08
0.0885,-4.39292614110586e-07,-1.76051026169757e-08
0.089,-4.49106493168729e-07,-1.70505608996433e-08
0.0895,-4.590821538211e-07,-1.64775022319067e-08
0.09,-4.69221263304641e-07,-1.58856870515588e-08
0.0905,-4.79525493440176e-07,-1.52748746387112e-08
0.091,-4.89996520523132e-07,-1.46448231215567e-08
0.0915,-5.00636025213231e-07,-1.39952894819034e-08
0.092,-5.11445692425343e-07,-1.33260295624631e-08
